organization,address,website,phone,fax,email,languages,information,category
Abcd Early Headstart ,"198 Geneva Ave, Dorchester, MA 02121",,617-929-6200,,,"English, Portuguese, Spanish & Other ","Services: Full Time, Cost: N/A",Child Care and Resources
ABCD Walnut Grove Headstart,"22 Elm Hill Ave, Dorchester, MA 02121",www.childcarechoicesofboston.org,617-445-8202,,,"English, French, Spanish ","Services: Full-Time and Part-Time, Cost:N/A",Child Care and Resources
Above & Beyond SACC Program @ Morland Street ,"95 Morland St, Roxbury, MA 02119",www.brookviewhouse.org,617-265-2965,,,"English, French, Portuguese & Spanish ","Services: Full-Time and Part-Time; After School, Cost:N/A",Child Care and Resources
Aspire (Expanded Learning Program),"Lilla G. Fredrick Middle School 270 Columbia RD. Dorchester MA, 02121",,Susan Lovett: 617-778-4023,,,English ,Services: After School Program; 3:40-3:55pm. Welcome Snack; 4:00-5:00pm. Homework Help & Tutoring; 5:00-6:00pm. Enrichment Activities. Cost: $50/year,Child Care and Resources
ASPIRE After School Program/ Alliance for Inclusion & Prevention,"207 Columbia RD. Dorchester, MA 02121",www.childcarechoicesofboston.org,617-635-1650,,,English ,Services: Part-Time. Cost: N/A,Child Care and Resources
Au Co Preschool ,"42 Charles St Dorcester, MA 02121",www.viwraid.org,617-822-3717,,,English & Vietnamese,Services Full-Time and Part-Time. Cost: N/A,Child Care and Resources
Basics Tutorial-Mather School ,"1 Parish St, Dorchester MA 02122",www.bellnational.org,617-635-8789,,,"English, Spanish & Vietnamese",Services: Part-Time; After School. Cost: N/A,Child Care and Resources
Basics Tutorial-Thomas Kenny School ,"19 Oakton Av Dorchester, MA 02122",www.bellnational.org,617-963-6277,,,"English, Spanish & Other",Services: Full-Time; After School. Cost: N/A,Child Care and Resources
Vird Street Cmty Ctr. ASP @ Higginson-Lewis K2-8 Before and After ,"131 Walnut Ave Roxbury,Ma 02119",www.childcarechoicesofboston.org,617-282-6110,,,English & Other ,Services: Full-Time; Before School; After School. Cost: N/A,Child Care and Resources
Boston Debate League ,"Boston Debate League 54 Canal Street 4th Floor, Boston MA 20114",www.bostondebate.org,857-350-4274,,info@bostondebate.org,English," After School Debate League lncludes students from highest to lowest achieving, students with a master of the English language and English language learners. Helps students with critically thinking, literacy, civic awareness, self-efficacy and resiliency. Cost: N/A",Child Care and Resources
